lambda,method,K,n_candidates,n_chosen,obj_linear,solver_status,solver_seconds,pop_w_mean_LT_t_before,pop_w_mean_LT_t_after,pop_w_mean_LT_f_before,pop_w_mean_LT_f_after,p10_LT_f_before,p10_LT_f_after,share_below_sphere_f_before,share_below_sphere_f_after,bottom_decile_mean_LT_f_before,bottom_decile_mean_LT_f_after
0.0,greedy,10,36,10,1.3889352474347638,ok,,0.07869746797750349,0.07914410513969136,0.11593036755399407,0.11637091616715764,0.07606826147548122,0.07837991539504706,0.02654867256637168,0.022123893805309734,0.09785158003265235,0.09890389152089596
0.0,ip,10,36,10,1.3889352474347638,Optimal,0.02346324920654297,0.07869746797750349,0.07914410513969136,0.11593036755399407,0.11637091616715764,0.07606826147548122,0.07837991539504706,0.02654867256637168,0.022123893805309734,0.09785158003265235,0.09890389152089596
0.25,greedy,10,36,10,1.7455561639069974,ok,,0.07869746797750349,0.07914410513969136,0.11593036755399407,0.11637091616715764,0.07606826147548122,0.07830878136501995,0.02654867256637168,0.022123893805309734,0.09785158003265235,0.09890049026997573
0.25,ip,10,36,10,1.7455561639069976,Optimal,0.021431922912597656,0.07869746797750349,0.07914410513969136,0.11593036755399407,0.11637091616715764,0.07606826147548122,0.07830878136501995,0.02654867256637168,0.022123893805309734,0.09785158003265235,0.09890049026997573
0.5,greedy,10,36,10,2.10758598392962,ok,,0.07869746797750349,0.07914410513969136,0.11593036755399407,0.11637091616715764,0.07606826147548122,0.07642387935482434,0.02654867256637168,0.022123893805309734,0.09785158003265235,0.09889900837773578
0.5,ip,10,36,10,2.10758598392962,Optimal,0.023841142654418945,0.07869746797750349,0.07914410513969136,0.11593036755399407,0.11637091616715764,0.07606826147548122,0.07642387935482434,0.02654867256637168,0.022123893805309734,0.09785158003265235,0.09889900837773578
0.75,greedy,10,36,10,2.470930828507445,ok,,0.07869746797750349,0.07914410513969136,0.11593036755399407,0.11637091616715764,0.07606826147548122,0.0765286173730905,0.02654867256637168,0.022123893805309734,0.09785158003265235,0.09889513545329111
0.75,ip,10,36,10,2.470930828507445,Optimal,0.024029016494750977,0.07869746797750349,0.07914410513969136,0.11593036755399407,0.11637091616715764,0.07606826147548122,0.0765286173730905,0.02654867256637168,0.022123893805309734,0.09785158003265235,0.09889513545329111
1.0,greedy,10,36,10,2.835448370437176,ok,,0.07869746797750349,0.07914410513969136,0.11593036755399407,0.11637091616715764,0.07606826147548122,0.0765286173730905,0.02654867256637168,0.022123893805309734,0.09785158003265235,0.09889513545329111
1.0,ip,10,36,10,2.835448370437176,Optimal,0.02204585075378418,0.07869746797750349,0.07914410513969136,0.11593036755399407,0.11637091616715764,0.07606826147548122,0.0765286173730905,0.02654867256637168,0.022123893805309734,0.09785158003265235,0.09889513545329111
